height,weight,gender
63.37,149.14,0
65.53,108.21,1
72.97,168.14,0
71.5,163.38,0
67.19,132.57,1
67.39,117.49,1
62.68,93.61,1
63.94,124.4,1
66.66,151.85,0
69.52,168.3,0
72.12,178.34,0
68.71,153.94,0
67,137.85,1
75.32,183.01,0
64.44,116.4,1
64.32,118.37,1
62.83,109.64,1
71.57,170.82,0
65.63,100.68,1
68.1,128.74,1
70.43,154,0
64.75,134.27,0
73.82,201.86,0
65.02,126.14,0
61.62,123.17,1
63.49,109.1,1
67.26,173.19,0
66.89,136.24,1
61.38,115.45,1
66.99,124,1
60.36,102.35,1
65.26,134.52,0
63.25,114.13,1
72.65,165.84,0
62.23,105.82,1
62.26,113.97,1
64.02,143.82,0
77.23,177.19,0
60.41,150.71,0
69.38,173.38,0
67.4,136.42,1
60.74,104.76,1
62.53,138.69,0
69.2,167.46,0
66.19,118.69,1
63.71,112.6,1
62.98,116.56,1
62.93,104.93,1
62.94,117.39,1
62.62,107.9,1
73.24,180.3,0
68.04,158.59,0
62.22,105.25,1
63.83,123.51,1
71.39,169.14,0
62.55,105.98,1
72.32,168.76,0
67.89,167.8,0
64.31,135.64,0
59.92,102.12,1
71,157.29,0
71.7,147.85,0
64.28,124.98,1
57.26,97.63,1
67.18,155.74,0
60.21,113.18,1
61.47,122.35,1
65.99,114.58,1
69.12,163.05,0
65.92,108.44,1
61.2,134.47,1
66.02,132.66,0
73.84,186.33,0
67.48,149.77,0
62.5,104.86,1
68.18,152.03,0
66.77,107.49,1
65.7,141.23,0
63.86,130.35,0
72.84,178.24,0
71.6,161.03,0
66.91,136.08,1
69.7,152.17,0
72.87,170.36,0
66.05,110.61,1
65.55,126.51,1
63.49,103.27,1
60.83,106.13,1
69.77,113.58,1
67.55,169.02,0
65.23,131.17,1
66.95,121.34,1
62.35,115.08,1
66.8,130.78,1
71.3,169.75,0
61.91,114.72,1
63.44,111.17,1
73.04,177.47,0
65.77,106.11,1
64.75,112.01,1
62.15,117.1,1
65.4,139.13,0
62.75,119.19,1
61.17,126.76,1
70.46,155,0
70.44,161.09,0
66.33,146.87,0
68.43,126.97,1
69.63,148,0
64.91,119.01,1
72.82,197.88,0
69.82,153.28,0
67.33,167.77,0
66.15,102.72,1
72.99,182.28,0
67.15,120.79,1
64.9,123.2,1
62.03,139.39,0
65.28,106.97,1
66.49,147.39,1
59.95,94.59,1
66.5,132.91,1
63.21,114.11,1
66.97,164.37,0
61.92,116.38,1
70.25,154.62,0
60.77,106.22,1
65.26,119.34,1
57.96,98.93,1
65.46,121.91,1
73.38,171.79,0
63.95,106.89,1
58.93,115.39,1
64.29,101.34,1
64.74,135.26,0
72.15,168.58,0
68.45,137.85,1
69.99,165.57,0
