AAcomp_A,AAcomp_R,AAcomp_N,AAcomp_D,AAcomp_C,AAcomp_Q,AAcomp_E,AAcomp_G,AAcomp_H,AAcomp_I,AAcomp_L,AAcomp_K,AAcomp_M,AAcomp_F,AAcomp_P,AAcomp_S,AAcomp_T,AAcomp_W,AAcomp_Y,AAcomp_V,AAindex_ARGP820101_avg,AAindex_BULH740101_avg,AAindex_CHAM820102_avg,AAindex_CIDH920105_avg,AAindex_EISD840101_avg,AAindex_EISD860101_avg,AAindex_EISD860102_avg,AAindex_EISD860103_avg,AAindex_FAUJ830101_avg,AAindex_GOLD730101_avg,AAindex_GUYH850101_avg,AAindex_HOPT810101_avg,AAindex_JANJ790102_avg,AAindex_JOND750101_avg,AAindex_KYTJ820101_avg,AAindex_LAWE840101_avg,AAindex_LEVM760101_avg,AAindex_MANP780101_avg,AAindex_MIYS850101_avg,AAindex_NOZY710101_avg,AAindex_OOBM770101_avg,AAindex_OOBM770102_avg,AAindex_OOBM770103_avg,AAindex_OOBM770104_avg,AAindex_OOBM770105_avg,AAindex_OOBM850103_avg,AAindex_OOBM850104_avg,AAindex_PONP800101_avg,AAindex_PONP800102_avg,AAindex_PONP800103_avg,AAindex_PRAM900101_avg,AAindex_RADA880101_avg,AAindex_RADA880102_avg,AAindex_RADA880103_avg,AAindex_RADA880104_avg,AAindex_RADA880105_avg,AAindex_ROBB790101_avg,AAindex_ROSM880101_avg,AAindex_ROSM880102_avg,AAindex_SIMZ760101_avg,AAindex_SWER830101_avg,AAindex_VHEG790101_avg,AAindex_WERD780102_avg,AAindex_WERD780103_avg,AAindex_WERD780104_avg,AAindex_YUTK870101_avg,AAindex_YUTK870102_avg,AAindex_YUTK870103_avg,AAindex_YUTK870104_avg,AAindex_ZIMJ680101_avg,AAindex_PONP930101_avg,AAindex_WILM950101_avg,AAindex_WILM950102_avg,AAindex_WILM950103_avg,AAindex_WILM950104_avg,AAindex_KUHL950101_avg,AAindex_JURD980101_avg,AAindex_WOLR790101_avg,AAindex_KIDA850101_avg,AAindex_COWR900101_avg,AAindex_BLAS910101_avg,AAindex_CASG920101_avg,AAindex_ENGD860101_avg,AAindex_FASG890101_avg,class
0.08475,0.02542,0.02542,0.02542,0,0.02542,0.05085,0.04237,0,0.07627,0.17797,0.0678,0.05085,0.0678,0.01695,0.07627,0.05085,0.00847,0.05085,0.07627,1.08169,-1.22356,0.65319,0.32314,0.04475,0.9011,1.64025,0.11475,0.66754,1.48169,-0.31271,-0.47458,0.00085,1.53602,0.74068,0.35237,-0.53644,13.33373,2.88678,1.0161,-1.79653,-1.2282,-0.56804,-14.17103,-9.58267,0.09042,-3.37686,12.83898,8.16102,2.74483,0.70085,0.06314,0.86229,-2.6328,-0.57746,-3.15356,0.85932,0.91229,-0.80551,1.51127,0.32398,-6.27415,-0.24059,0.15161,-0.16203,10.57288,8.27458,17.60746,18.02771,1.57008,0.90034,1.34559,2.09102,0.61347,1.19678,0.81644,0.67136,0.36695,-0.14771,0.50534,0.63039,0.03475,0.1678,-1.34898,F
0.08661,0.05118,0.0315,0.07087,0.01575,0.03937,0.04724,0.04724,0.02362,0.06693,0.11417,0.05906,0.01575,0.04331,0.06299,0.05512,0.05512,0.01575,0.03937,0.05906,0.99409,-0.95362,0.52387,0.10268,-0.11256,0.56831,1.79732,-0.06335,0.44587,1.30776,-0.02248,-0.06457,-0.12402,1.41248,-0.13583,0.23791,-0.21181,12.89016,2.60106,0.76457,-1.75357,-1.21371,-0.53969,-13.80596,-9.44831,-0.04906,-1.77425,12.48236,7.79984,2.6622,5.73701,-1.34925,0.6035,-2.56311,-1.35496,-3.72035,0.59449,1.95201,-0.34571,1.3587,0.00913,-1.5313,-0.21472,0.09453,-0.23232,9.62638,7.66772,17.09866,17.49681,1.41118,0.56402,0.92638,1.42705,0.79075,0.96724,0.88949,-0.24634,0.13902,0.02642,0.21953,0.54195,-0.13346,1.37126,-0.73799,C
0.05211,0.05459,0.05211,0.06203,0.01241,0.03226,0.09181,0.0397,0.03226,0.07444,0.10422,0.07444,0.01985,0.05211,0.0397,0.04467,0.07196,0.00248,0.03722,0.04963,0.9394,-0.91784,0.60678,0.03206,-0.18055,0.45352,2.05767,-0.13337,0.34196,1.2262,0.00931,0.14938,-0.20199,1.33489,-0.44119,0.1468,0.01687,12.81022,2.55412,0.71712,-1.72906,-1.20071,-0.52814,-13.95211,-9.61651,-0.04881,-1.66516,12.40583,7.69943,2.63377,8.30794,-1.97613,0.5334,-2.78886,-1.98447,-4.60372,0.56154,2.58918,-0.09717,1.297,-0.03375,-0.12486,-0.1937,0.11734,-0.2461,9.63945,7.53176,17.03206,17.40635,1.38427,0.48452,0.86005,1.26876,0.83337,1.15556,0.93516,-0.51747,0.00017,0.16834,0.08462,0.50065,-0.2062,1.98561,-0.54362,F
0.05181,0.03627,0.06736,0.03627,0.01554,0.06218,0.07254,0.05181,0.01554,0.04663,0.13472,0.08808,0.01036,0.04663,0.05699,0.05699,0.05699,0.02073,0.02073,0.05181,0.9344,-0.90539,0.47077,0.00756,-0.1586,0.5115,1.86938,-0.10575,0.38223,1.27798,0.03244,0.01813,-0.19326,1.32788,-0.41192,0.19352,-0.11606,12.78974,2.52565,0.70881,-1.73289,-1.20919,-0.52347,-13.78683,-9.53413,-0.04751,-2.33052,12.3413,7.64865,2.62782,6.81503,-1.57202,0.54653,-2.67404,-1.82218,-4.37617,0.50674,2.23596,-0.20627,1.27482,-0.05808,-1.67881,-0.18736,0.12912,-0.23808,9.58705,7.75026,17.35399,17.74653,1.31451,0.43171,0.90585,1.32135,0.67637,1.17855,0.90668,-0.48482,0.07736,0.1144,0.11782,0.52268,-0.22798,1.6285,-0.52451,C
0.14851,0.09901,0.01485,0.07921,0.0099,0.0198,0.04455,0.10396,0.0297,0.0396,0.07921,0.0297,0.02475,0.0396,0.06931,0.02475,0.02475,0.01485,0.02475,0.07921,0.9248,-0.79718,0.27328,0.04827,-0.13797,0.4248,1.92292,-0.0653,0.34941,1.14718,0.06594,0.09158,-0.0995,1.31411,-0.18416,0.18332,-0.06733,12.86416,2.55129,0.6703,-1.76648,-1.22379,-0.5426,-13.28943,-9.0705,-0.01629,-0.95767,12.4601,7.77703,2.65733,6.82228,-1.6396,0.4548,-2.17723,-1.41639,-3.39203,0.46584,2.0145,-0.19792,1.22599,-0.10074,-0.03644,-0.22089,0.07624,-0.21366,8.86683,7.03267,16.2645,16.64822,1.2803,0.55089,0.69337,1.2847,0.28218,0.45822,0.89545,-0.38366,0.1548,0.03975,0.18718,0.5156,-0.12277,1.63069,-0.62193,F
0.08861,0.06962,0.03165,0.06962,0.00949,0.04747,0.08861,0.0538,0.03481,0.03481,0.13924,0.03481,0.01582,0.0538,0.0443,0.03481,0.0443,0.01266,0.02848,0.06329,0.92522,-0.91491,0.55732,0.04468,-0.14623,0.48127,1.93212,-0.09364,0.39228,1.19209,-0.01655,0.05348,-0.13323,1.31462,-0.27532,0.16525,-0.08766,12.88649,2.60301,0.75127,-1.74885,-1.21203,-0.5366,-13.96016,-9.57282,-0.05788,-1.23237,12.46437,7.7732,2.6543,7.45728,-1.75184,0.53203,-2.64329,-1.68892,-4.15304,0.53987,2.29478,-0.20975,1.27275,-0.03712,-0.51234,-0.23339,0.1018,-0.24484,9.4288,7.50949,16.78304,17.15082,1.32782,0.54275,0.91972,1.58047,0.60449,0.7468,0.92218,-0.38554,0.06234,0.07424,0.18813,0.51066,-0.16835,1.78165,-0.7269,C
0.0359,0.01995,0.10771,0.08112,0.00133,0.02527,0.06782,0.09043,0.01463,0.05585,0.0758,0.10505,0.02394,0.04521,0.0266,0.05186,0.05718,0.01064,0.04388,0.05984,0.85354,-0.81488,0.58905,-0.08039,-0.1936,0.37445,1.84977,-0.21118,0.22565,1.14122,0.07795,0.20652,-0.24096,1.21356,-0.72912,0.07347,0.09481,12.64031,2.42638,0.65612,-1.71431,-1.20426,-0.50989,-13.46638,-9.38288,0.00985,-1.60331,12.23132,7.50351,2.58896,8.8379,-2.04569,0.51801,-2.61016,-1.85806,-4.28398,0.37114,2.76944,0.10411,1.15818,-0.12832,-0.65548,-0.11805,0.1639,-0.25951,9.48285,7.51888,17.58444,18.00874,1.21824,0.31537,0.72169,0.64383,0.5354,1.10903,0.9368,-0.79004,0.02598,0.21866,-0.02584,0.48503,-0.29056,2.11263,-0.23128,F
0.0625,0.05625,0.05,0.06875,0.0125,0.0625,0.075,0.05625,0.04375,0.0625,0.1125,0.01875,0.0125,0.05625,0.05,0.0375,0.05,0.0125,0.01875,0.08125,0.92406,-0.90988,0.51685,0.06612,-0.11369,0.52519,1.73144,-0.06044,0.43681,1.20231,-0.07838,-0.075,-0.08312,1.31281,-0.19125,0.16662,-0.21688,12.93994,2.63312,0.7525,-1.75617,-1.21189,-0.54412,-13.96998,-9.55219,0.0665,-1.27812,12.53238,7.84794,2.67125,6.26562,-1.59694,0.56956,-2.63275,-1.583,-4.03094,0.64812,2.17531,-0.29769,1.25838,-0.03025,-1.29288,-0.21706,0.11431,-0.23006,9.63125,7.64875,17.01712,17.41344,1.31788,0.5985,0.978,1.50362,0.87956,1.02694,0.90312,-0.28006,0.0885,0.04869,0.20781,0.51686,-0.1125,1.49688,-0.8795,C
0.04,0.05333,0.05333,0.08,0,0.05333,0.01333,0.10667,0.04,0.06667,0.05333,0.08,0.02667,0.02667,0.04,0.05333,0.06667,0.02667,0.09333,0.02667,0.9068,-0.83653,0.65137,-0.01067,-0.21,0.44013,1.97453,-0.25427,0.288,1.2136,0.14013,-0.012,-0.24667,1.28893,-0.90933,0.18333,-0.11467,12.60013,2.44347,0.72933,-1.71952,-1.18964,-0.52976,-13.95888,-9.50761,-0.2624,-1.00147,12.26707,7.5556,2.60467,8.05733,-2.1548,0.57147,-2.84053,-2.02867,-4.6908,0.56,2.67667,0.1756,1.25067,-0.06413,0.1012,-0.18267,0.10107,-0.256,8.992,7.30133,17,17.3908,1.2592,0.37373,0.6436,0.5996,0.7652,0.66747,0.93827,-1.0096,-0.03493,0.16333,-0.07213,0.50075,-0.20267,1.92533,-0.25613,F
0.06946,0.03618,0.06223,0.03907,0.00434,0.03184,0.07815,0.06368,0.05355,0.08538,0.07381,0.09262,0.02026,0.04342,0.03763,0.07381,0.04486,0.00145,0.03184,0.05644,0.90237,-0.83695,0.42963,0.01151,-0.16268,0.46259,1.87072,-0.16564,0.30278,1.16368,0.0313,0.111,-0.19001,1.28247,-0.45601,0.12032,-0.00029,12.77368,2.49757,0.66368,-1.73385,-1.211,-0.52266,-13.57845,-9.41515,0.00787,-1.90388,12.37521,7.65766,2.62297,7.31302,-1.75381,0.54081,-2.64032,-1.95945,-4.50169,0.49826,2.41517,-0.04761,1.23182,-0.08567,-1.18877,-0.16161,0.12155,-0.23129,9.61201,7.62026,17.38331,17.78437,1.31703,0.45022,0.66017,0.93065,0.81861,1.10544,0.9143,-0.53577,0.05809,0.17967,-0.02294,0.49759,-0.19826,1.74805,-0.40496,F
